,precision,recall,f1-score,support
0.0,0.9847700471897188,0.8289446276328356,0.9001634616553087,16889110.0
1.0,0.21352900645924944,0.7836720176084517,0.3356127867323318,1000883.0
accuracy,0.8264117822740344,0.8264117822740344,0.8264117822740344,0.8264117822740344
macro avg,0.5991495268244842,0.8063083226206437,0.6178881241938202,17889993.0
weighted avg,0.9416217884637689,0.8264117822740344,0.868578811333258,17889993.0
