,precision,recall,f1-score,support
0.0,0.9440534716810677,1.0,0.9712217132224484,16889110.0
1.0,0.0,0.0,0.0,1000883.0
accuracy,0.9440534716810677,0.9440534716810677,0.9440534716810677,0.9440534716810677
macro avg,0.47202673584053384,0.5,0.4856108566112242,17889993.0
weighted avg,0.8912369573930765,0.9440534716810677,0.9168852301396868,17889993.0
