,precision,recall,f1-score,support
0.0,1.0,0.9989750792078446,0.9994872768536157,16889110.0
1.0,0.9829992938470408,1.0,0.9914267714538729,1000883.0
accuracy,0.9990324199679675,0.9990324199679675,0.9990324199679675,0.9990324199679675
macro avg,0.9914996469235204,0.9994875396039222,0.9954570241537444,17889993.0
weighted avg,0.9990488695117716,0.9990324199679675,0.9990363195600042,17889993.0
